date,ghi,temperature,cloud_cover,effective_ghi,capacity_factor,generation_mwh,ppa_price,spot_price,rec_price,curtailment_fraction,available_mwh,daily_revenue_usd,is_drift_period
2022-01-17,50.0,5.14,0.0867,46.96,0.047,5.32,44.39,42.68,7.83,0.0182,5.22,269.97,0
2022-01-18,112.29,1.47,0.5008,72.93,0.0729,6.9,43.99,41.34,8.13,0.0097,6.83,350.5,0
2022-01-19,50.0,2.14,0.4745,33.39,0.0334,11.12,43.66,29.65,9.04,0.006,11.06,536.15,0
2022-01-20,50.0,-0.93,0.7272,24.55,0.0245,6.27,45.43,37.03,7.33,0.0271,6.1,306.72,0
2022-01-21,190.5,1.11,0.581,113.03,0.113,28.5,44.32,47.49,8.21,0.0284,27.69,1480.9,0
2022-01-22,92.24,-0.49,0.5619,55.96,0.0559,16.6,45.97,40.85,7.93,0.3,11.62,608.52,0
2022-01-23,113.14,1.12,0.195,97.7,0.0977,26.56,45.99,46.06,6.61,0.0262,25.86,1360.95,0
2022-01-24,50.0,9.36,0.2225,42.21,0.0422,17.24,46.37,55.15,7.83,0.0223,16.86,958.21,0
2022-01-25,83.3,1.46,0.3546,62.62,0.0626,17.65,44.15,49.57,7.78,0.0052,17.56,940.22,0
2022-01-26,126.18,15.91,0.3962,91.18,0.0912,21.33,45.48,42.24,7.75,0.0068,21.19,1107.14,0
2022-01-27,54.11,7.48,0.2957,42.91,0.0429,16.75,45.63,37.64,8.05,0.1688,13.92,713.77,0
2022-01-28,149.44,6.38,0.6635,80.04,0.08,20.92,44.53,21.52,8.11,0.0369,20.14,921.37,0
2022-01-29,94.67,2.33,0.0195,93.37,0.0933,28.3,44.23,40.83,7.35,0.1046,25.34,1281.31,0
2022-01-30,117.09,8.7,0.3276,90.24,0.0902,22.42,46.61,39.8,9.91,0.0021,22.37,1218.72,0
2022-01-31,102.46,3.73,0.1575,91.16,0.0911,21.81,45.23,45.75,6.25,0.0489,20.74,1070.98,0
2022-02-01,253.74,6.66,0.7265,124.7,0.1246,34.7,45.64,41.62,6.92,0.1325,30.1,1545.74,0
2022-02-02,145.91,16.56,0.4733,97.57,0.0975,26.88,44.18,40.51,12.17,0.069,25.03,1382.82,0
2022-02-03,87.46,6.08,0.3639,65.18,0.0652,20.32,43.78,29.05,6.44,0.0268,19.77,905.58,0
2022-02-04,204.54,11.2,0.1946,176.67,0.1766,47.22,44.43,35.98,5.97,0.0018,47.14,2256.2,0
2022-02-05,86.28,3.94,0.4743,57.63,0.0576,6.66,44.88,47.53,9.1,0.0167,6.55,358.68,0
2022-02-06,176.48,6.77,0.1547,157.37,0.1573,41.09,43.94,57.65,4.88,0.0616,38.56,2041.19,0
2022-02-07,50.85,14.14,0.4507,34.8,0.0348,13.54,44.99,43.35,7.65,0.0168,13.31,693.92,0
2022-02-08,93.29,4.71,0.7155,46.56,0.0465,11.31,43.31,46.95,11.22,0.0239,11.04,614.14,0
2022-02-09,189.41,14.62,0.7038,96.09,0.096,25.18,43.88,52.15,5.68,0.0197,24.68,1284.56,0
2022-02-10,226.59,10.37,0.2249,190.92,0.1908,57.41,45.67,38.24,5.03,0.0169,56.43,2735.35,0
2022-02-11,197.32,5.45,0.6825,103.05,0.103,24.76,45.6,47.86,5.75,0.0219,24.22,1260.26,0
2022-02-12,184.91,10.39,0.0746,175.25,0.1751,40.45,44.61,39.19,9.35,0.0385,38.89,2035.41,0
2022-02-13,178.65,11.92,0.3299,137.39,0.1373,36.96,43.98,52.22,9.69,0.1076,32.98,1851.64,0
2022-02-14,112.94,10.69,0.234,94.45,0.0944,23.54,43.97,46.7,7.23,0.0482,22.4,1165.41,0
2022-02-15,163.46,2.09,0.0555,157.11,0.157,38.35,44.63,48.06,9.02,0.0058,38.12,2084.6,0
2022-02-16,184.06,5.64,0.5564,112.37,0.1123,30.01,45.64,39.59,10.09,0.009,29.74,1603.2,0
2022-02-17,280.23,7.73,0.634,155.86,0.1558,45.29,45.93,51.69,10.68,0.1126,40.19,2344.79,0
2022-02-18,242.58,8.6,0.6106,138.9,0.1388,38.13,44.5,62.88,7.63,0.0602,35.83,2065.56,0
2022-02-19,121.4,11.56,0.4627,82.08,0.082,24.09,43.85,38.31,4.55,0.0494,22.9,1070.26,0
2022-02-20,251.89,9.97,0.4568,171.35,0.1712,56.16,45.27,43.82,6.77,0.0836,51.46,2655.71,0
2022-02-21,214.65,4.1,0.7678,99.28,0.0992,25.57,44.18,48.56,7.36,0.0272,24.87,1314.58,0
2022-02-22,202.5,11.14,0.3087,158.75,0.1586,45.02,44.48,53.16,7.61,0.0192,44.15,2415.06,0
2022-02-23,285.23,12.25,0.4754,190.32,0.1902,49.75,46.33,42.54,7.72,0.0119,49.16,2600.99,0
2022-02-24,315.84,12.23,0.2579,258.82,0.2586,66.89,45.83,24.51,9.68,0.03,64.89,3186.59,0
2022-02-25,315.36,14.51,0.6181,178.92,0.1788,46.24,45.16,58.2,9.91,0.0612,43.41,2560.38,0
2022-02-26,214.66,13.71,0.6012,124.32,0.1242,31.77,43.73,53.55,7.74,0.0443,30.36,1652.22,0
2022-02-27,252.04,12.4,0.4506,172.54,0.1724,49.21,45.21,33.67,9.65,0.1036,44.11,2267.05,0
2022-02-28,296.09,10.48,0.4591,200.94,0.2008,66.96,46.06,42.89,8.54,0.0936,60.69,3255.81,0
2022-03-01,340.4,4.31,0.3866,248.27,0.2481,64.64,44.62,60.43,8.1,0.0334,62.48,3590.24,0
2022-03-02,258.81,12.86,0.4607,175.35,0.1752,46.1,46.35,59.59,9.36,0.0494,43.82,2615.54,0
2022-03-03,282.14,12.17,0.0988,262.62,0.2624,71.84,46.29,55.65,8.11,0.0093,71.17,4071.61,0
2022-03-04,232.65,12.62,0.4762,155.1,0.155,44.6,46.66,46.85,11.09,0.0883,40.66,2350.42,0
2022-03-05,233.04,6.63,0.7507,110.58,0.1105,31.7,45.31,49.04,5.84,0.088,28.91,1511.2,0
2022-03-06,359.38,7.61,0.285,287.68,0.2874,85.46,45.59,47.45,7.23,0.0638,80.01,4270.31,0
2022-03-07,397.84,16.35,0.4491,272.76,0.2725,62.81,46.41,57.63,7.81,0.0912,57.08,3287.21,0
2022-03-08,318.01,12.18,0.3481,240.51,0.2403,54.15,45.45,41.71,8.66,0.0199,53.07,2811.79,0
2022-03-09,388.43,15.26,0.2743,313.84,0.3136,83.75,44.5,42.37,9.9,0.002,83.58,4493.16,0
2022-03-10,355.82,12.85,0.5888,209.17,0.209,62.96,44.55,57.0,7.96,0.0184,61.79,3475.81,0
2022-03-11,301.34,13.06,0.2973,238.63,0.2384,57.73,45.24,48.65,5.87,0.0471,55.01,2867.81,0
2022-03-12,367.68,16.9,0.5778,218.96,0.2187,45.12,43.71,60.13,9.26,0.0343,43.57,2522.66,0
2022-03-13,444.23,11.29,0.4253,311.99,0.3117,88.57,44.86,43.81,9.13,0.0608,83.18,4464.86,0
2022-03-14,355.78,13.94,0.1301,323.38,0.3231,90.06,46.1,48.83,5.09,0.0568,84.95,4417.55,0
2022-03-15,457.79,11.91,0.2398,380.96,0.3806,99.21,42.81,41.96,7.99,0.0588,93.38,4720.27,0
2022-03-16,212.73,12.23,0.4272,149.12,0.149,36.04,46.53,49.48,5.61,0.0478,34.32,1819.83,0
2022-03-17,425.23,12.94,0.3351,325.48,0.3251,84.57,46.12,37.66,7.0,0.0435,80.89,4091.78,0
2022-03-18,387.16,15.27,0.3296,297.84,0.2975,82.37,44.54,45.65,6.65,0.1207,72.43,3731.63,0
2022-03-19,370.01,12.67,0.3901,268.97,0.2687,70.76,45.54,38.12,9.21,0.0879,64.53,3390.0,0
2022-03-20,399.48,19.82,0.2583,327.24,0.3269,92.37,45.0,55.22,8.18,0.116,81.65,4592.41,0
2022-03-21,280.75,11.42,0.1925,242.91,0.2426,52.45,46.23,55.45,6.07,0.0382,50.45,2778.2,0
2022-03-22,392.84,14.46,0.4779,261.42,0.2611,67.53,45.98,35.93,9.32,0.073,62.6,3272.97,0
2022-03-23,433.47,13.65,0.0115,429.97,0.4295,112.48,43.6,60.48,5.85,0.066,105.06,5727.06,0
2022-03-24,506.74,21.41,0.3016,399.75,0.3993,108.53,45.59,69.83,8.5,0.027,105.59,6478.58,0
2022-03-25,392.98,16.61,0.4653,265.0,0.2647,70.1,44.79,50.25,6.78,0.0265,68.25,3631.4,0
2022-03-26,381.58,20.16,0.6848,198.67,0.1984,58.56,45.08,44.78,7.45,0.0855,53.55,2808.58,0
2022-03-27,405.98,10.29,0.3461,307.61,0.3073,75.2,44.27,72.53,8.76,0.001,75.12,4620.32,0
2022-03-28,497.0,17.51,0.7525,235.2,0.2349,64.83,46.75,39.41,8.78,0.0431,62.04,3308.34,0
2022-03-29,467.77,20.21,0.1907,405.32,0.4048,114.12,46.04,50.14,10.01,0.0445,109.04,6245.27,0
2022-03-30,422.22,17.18,0.4885,277.83,0.2775,85.59,44.26,51.43,7.88,0.0335,82.73,4490.93,0
2022-03-31,490.75,21.32,0.3578,367.85,0.3674,98.63,43.67,60.76,8.46,0.0093,97.71,5594.3,0
2022-04-01,471.7,15.19,0.1557,420.31,0.4198,117.06,44.61,52.88,7.34,0.003,116.71,6353.42,0
2022-04-02,529.91,23.1,0.5817,314.13,0.3137,77.26,45.43,46.01,8.27,0.0603,72.6,3911.73,0
2022-04-03,435.55,26.86,0.3752,321.16,0.3184,75.59,45.24,42.38,8.66,0.0125,74.65,3959.54,0
2022-04-04,463.88,16.41,0.1527,414.28,0.4138,118.01,46.25,47.25,7.85,0.0341,113.98,6201.2,0
2022-04-05,465.85,16.28,0.5038,301.58,0.3012,82.8,45.79,41.91,5.29,0.0441,79.15,3951.23,0
2022-04-06,407.37,24.08,0.1075,376.71,0.3762,109.35,45.97,50.33,8.5,0.0158,107.63,6003.06,0
2022-04-07,518.74,24.78,0.5527,318.03,0.3176,80.48,45.33,45.41,8.55,0.0101,79.67,4294.05,0
2022-04-08,522.39,16.57,0.2294,438.51,0.4379,123.03,43.61,37.95,6.98,0.0672,114.76,5610.66,0
2022-04-09,512.75,17.17,0.8688,200.92,0.2007,64.52,44.8,59.91,6.07,0.08,59.36,3289.25,0
2022-04-10,504.06,17.92,0.268,409.49,0.4089,114.56,46.06,45.85,10.21,0.0015,114.38,6429.42,0
2022-04-11,438.86,13.87,0.3746,323.79,0.3233,90.3,44.95,39.64,8.74,0.0263,87.93,4580.69,0
2022-04-12,504.16,15.76,0.4788,335.19,0.3347,92.09,45.5,48.4,7.66,0.0839,84.37,4558.19,0
2022-04-13,514.42,15.61,0.2712,416.78,0.4162,106.6,44.68,50.24,6.29,0.0496,101.31,5333.55,0
2022-04-14,492.38,16.75,0.6323,274.45,0.2741,82.14,43.97,35.67,6.77,0.0273,79.9,3854.99,0
2022-04-15,536.34,19.87,0.4238,377.24,0.3767,100.54,44.88,52.23,9.95,0.0332,97.21,5544.44,0
2022-04-16,575.71,21.13,0.0716,546.86,0.5461,152.69,45.31,41.14,8.21,0.0941,138.32,7229.31,0
2022-04-17,670.05,26.58,0.126,610.95,0.6062,158.89,44.34,63.14,7.17,0.1345,137.53,7860.56,0
2022-04-18,572.72,16.57,0.6641,306.48,0.306,78.26,44.76,53.57,8.76,0.0958,70.76,3974.62,0
2022-04-19,583.01,24.68,0.3586,436.68,0.436,127.09,44.06,46.11,6.78,0.0715,118.0,6071.17,0
2022-04-20,568.35,20.07,0.3574,426.18,0.4255,115.29,46.12,43.26,10.25,0.0104,114.09,6333.47,0
2022-04-21,462.91,20.91,0.3525,348.68,0.3482,103.01,44.71,48.3,10.03,0.0116,101.81,5682.35,0
2022-04-22,581.6,23.98,0.1983,500.85,0.5001,137.13,46.45,53.96,7.3,0.049,130.42,7303.8,0
2022-04-23,591.92,16.97,0.3517,446.19,0.4455,113.3,46.53,48.76,7.06,0.0574,106.8,5794.13,0
2022-04-24,741.15,23.16,0.3473,560.96,0.5601,158.48,44.92,47.13,4.07,0.0159,155.96,7744.21,0
2022-04-25,586.8,22.47,0.8477,238.62,0.2382,62.57,43.99,49.23,5.78,0.0619,58.7,3013.6,0
2022-04-26,621.37,23.94,0.4258,436.16,0.4355,123.25,42.91,43.83,5.99,0.0709,114.51,5631.26,0
2022-04-27,606.07,23.29,0.395,438.48,0.4378,120.52,43.53,45.8,8.2,0.018,118.34,6202.7,0
2022-04-28,542.85,32.12,0.3833,397.19,0.3853,98.23,43.63,31.75,7.51,0.0235,95.92,4563.19,0
2022-04-29,686.29,19.91,0.3988,494.7,0.4939,136.64,46.38,56.11,5.98,0.0215,133.71,7391.49,0
2022-04-30,667.52,20.5,0.3524,502.85,0.502,149.04,45.12,50.59,7.58,0.0246,145.37,7898.69,0
2022-05-01,674.48,20.29,0.5418,418.68,0.418,117.41,45.39,41.89,8.76,0.0421,112.47,5971.82,0
2022-05-02,577.01,20.72,0.3376,440.65,0.4399,120.69,42.78,63.14,8.79,0.0029,120.33,6940.67,0
2022-05-03,720.22,20.54,0.6673,383.78,0.3831,110.74,43.8,48.51,5.15,0.0613,103.95,5235.53,0
2022-05-04,556.36,28.0,0.3255,429.59,0.4237,117.58,45.89,39.39,7.81,0.005,116.99,6053.84,0
2022-05-05,680.02,29.08,0.6037,392.67,0.3856,107.09,45.29,54.39,5.92,0.0864,97.84,5277.93,0
2022-05-06,780.51,21.26,0.6361,432.97,0.4322,113.4,44.85,50.58,9.35,0.0813,104.18,5826.15,0
2022-05-07,593.84,20.35,0.2691,482.0,0.4812,133.49,45.56,50.4,9.18,0.0384,128.36,7213.19,0
2022-05-08,623.42,25.71,0.1311,566.2,0.5636,160.17,46.64,43.69,6.65,0.013,158.09,8284.92,0
2022-05-09,667.42,21.75,0.7421,320.7,0.3201,83.86,44.78,50.55,6.85,0.0329,81.1,4327.57,0
2022-05-10,635.2,26.63,0.3308,488.13,0.4841,140.25,45.07,44.69,7.31,0.0634,131.36,6865.16,0
2022-05-11,576.26,25.04,0.4229,405.67,0.4049,110.88,45.19,51.07,4.62,0.0022,110.64,5706.52,0
2022-05-12,677.22,18.3,0.2408,563.06,0.562,150.12,47.39,31.22,8.5,0.1199,132.12,6743.85,0
2022-05-13,613.09,30.68,0.2702,497.11,0.4849,138.35,42.9,42.82,7.59,0.0005,138.27,6978.22,0
2022-05-14,708.89,31.8,0.7016,360.72,0.3503,94.89,45.68,59.9,9.46,0.0556,89.61,5323.25,0
2022-05-15,628.87,22.29,0.6824,328.45,0.3279,93.96,44.89,39.81,6.35,0.1165,83.01,4126.66,0
2022-05-16,780.51,23.31,0.4639,527.04,0.5261,143.21,45.57,40.93,7.07,0.1131,127.0,6508.77,0
2022-05-17,643.91,26.12,0.3532,484.73,0.4817,132.16,44.34,42.0,5.74,0.0005,132.09,6522.63,0
2022-05-18,674.89,26.43,0.5289,425.04,0.4218,118.47,44.95,35.68,6.49,0.0335,114.51,5572.23,0
2022-05-19,746.25,27.83,0.2824,598.73,0.5908,163.93,45.71,27.55,6.23,0.0174,161.07,7488.15,0
2022-05-20,626.72,33.35,0.4411,433.2,0.4179,104.96,48.11,43.18,9.49,0.0192,102.94,5777.43,0
2022-05-21,717.26,24.7,0.2015,616.11,0.6149,163.5,45.81,45.91,6.95,0.0488,155.52,8210.33,0
2022-05-22,784.99,22.32,0.1845,683.6,0.6823,192.27,44.15,44.21,8.19,0.0316,186.2,9748.84,0
2022-05-23,612.97,20.09,0.4728,410.09,0.4093,111.89,44.58,43.27,7.43,0.0073,111.07,5733.0,0
2022-05-24,723.27,22.78,0.4364,502.31,0.5013,135.25,44.55,44.57,6.1,0.0053,134.52,6813.75,0
2022-05-25,730.46,25.66,0.4168,517.36,0.515,134.82,43.2,52.21,7.75,0.0312,130.61,7007.69,0
2022-05-26,764.36,33.06,0.3096,598.73,0.5783,153.63,44.67,42.29,8.9,0.0587,144.61,7643.59,0
2022-05-27,645.73,23.9,0.474,431.49,0.4306,108.31,45.73,39.01,6.19,0.0525,102.63,5121.82,0
2022-05-28,643.11,26.95,0.2765,518.64,0.5136,140.73,43.73,41.14,9.21,0.0675,131.22,6845.34,0
2022-05-29,755.96,26.06,0.0684,719.76,0.7152,193.7,46.05,47.81,6.73,0.0112,191.54,10209.71,0
2022-05-30,744.66,30.96,0.372,550.77,0.5365,142.72,45.49,54.26,7.28,0.0219,139.59,7732.58,0
2022-05-31,743.98,36.39,0.1721,654.37,0.6233,171.06,44.27,37.72,8.8,0.0167,168.2,8594.72,0
2022-06-01,751.75,24.22,0.5581,458.08,0.4571,127.53,44.86,43.31,7.0,0.0686,118.78,6105.38,0
2022-06-02,692.07,24.45,0.7028,351.6,0.3509,106.95,46.6,45.0,8.06,0.0032,106.61,5775.84,0
2022-06-03,748.62,30.65,0.7967,331.13,0.323,81.26,45.73,34.13,7.53,0.078,74.92,3729.32,0
2022-06-04,753.98,29.26,0.3878,549.31,0.5388,153.97,45.01,42.0,8.19,0.0616,144.48,7556.51,0
2022-06-05,695.15,33.98,0.2395,578.63,0.5567,157.95,44.76,29.88,4.43,0.0116,156.12,6982.73,0
2022-06-06,851.47,28.98,0.4175,602.64,0.5918,158.85,45.08,27.22,5.26,0.0833,145.61,6548.98,0
2022-06-07,769.37,25.25,0.3932,557.61,0.5558,153.87,44.49,44.07,8.92,0.0213,150.6,8025.29,0
2022-06-08,670.77,29.1,0.4369,465.63,0.457,123.39,42.9,37.83,9.56,0.0983,111.26,5666.86,0
2022-06-09,782.85,31.21,0.6226,441.69,0.4298,119.12,47.04,42.28,6.63,0.1752,98.24,5133.05,0
2022-06-10,686.08,30.1,0.306,539.15,0.527,152.47,45.16,40.28,7.63,0.0539,144.25,7404.01,0
2022-06-11,792.8,28.88,0.4337,552.11,0.5424,152.17,45.4,32.37,8.44,0.0132,150.16,7497.93,0
2022-06-12,815.99,31.15,0.2076,697.43,0.6788,189.21,44.94,39.58,9.04,0.0184,185.72,9726.46,0
2022-06-13,698.04,31.58,0.365,519.69,0.5049,136.69,44.26,29.83,4.96,0.0727,126.75,5690.14,0
2022-06-14,805.78,32.46,0.8199,343.34,0.3324,83.98,44.81,50.58,6.67,0.0087,83.25,4429.84,0
2022-06-15,773.34,29.55,0.2469,639.71,0.6267,171.29,43.4,28.36,7.5,0.0257,166.89,7741.52,0
2022-06-16,798.39,26.3,0.5762,476.37,0.4728,136.06,47.28,37.39,9.05,0.0099,134.7,7188.54,0
2022-06-17,863.26,27.57,0.3371,659.54,0.6513,171.46,43.77,30.37,11.75,0.0602,161.15,8298.22,0
2022-06-18,735.01,31.82,0.5846,434.23,0.4214,110.61,43.97,43.02,7.66,0.0126,109.22,5607.29,0
2022-06-19,704.69,23.73,0.5795,418.86,0.4179,115.55,44.56,35.55,5.89,0.0543,109.28,5217.65,0
2022-06-20,696.63,28.47,0.2117,593.38,0.5838,155.61,46.29,33.8,8.6,0.03,150.94,7719.81,0
2022-06-21,701.02,25.43,0.5316,440.14,0.4384,116.59,45.01,44.52,9.98,0.0544,110.25,6046.79,0
2022-06-22,745.22,27.11,0.1302,677.31,0.67,182.14,43.76,37.68,8.16,0.0415,174.57,8745.96,0
2022-06-23,770.08,32.1,0.1592,684.25,0.6632,175.56,46.25,41.32,6.64,0.0744,162.49,8354.45,0
2022-06-24,765.87,27.74,0.3939,554.72,0.5473,145.65,45.73,29.08,9.44,0.0552,137.61,6904.31,0
2022-06-25,798.46,27.15,0.6898,412.94,0.4084,115.83,45.54,25.44,9.0,0.0202,113.49,5504.46,0
2022-06-26,749.07,21.5,0.4848,494.85,0.4937,129.22,45.72,37.28,6.46,0.0765,119.33,5924.0,0
2022-06-27,834.85,29.9,0.2271,702.16,0.6867,180.86,47.39,33.61,8.57,0.0246,176.41,9143.8,0
2022-06-28,731.01,29.48,0.0717,694.34,0.6802,183.92,47.19,40.91,9.5,0.0314,178.14,9762.2,0
2022-06-29,909.25,35.52,0.5174,579.93,0.5542,156.06,44.31,35.01,9.77,0.0691,145.27,7451.48,0
2022-06-30,782.62,25.6,0.3817,573.53,0.5707,155.97,46.62,37.03,7.9,0.0233,152.33,7867.27,0
2022-07-01,692.59,27.67,0.4144,491.68,0.4852,131.11,45.38,22.14,7.46,0.0368,126.29,5793.42,0
2022-07-02,678.61,27.75,0.4737,453.57,0.4475,123.27,45.5,49.98,9.84,0.0019,123.04,6974.64,0
2022-07-03,770.55,33.02,0.6083,442.45,0.4272,108.75,43.31,33.3,6.18,0.1166,96.07,4466.24,0
2022-07-04,726.83,26.28,0.3693,538.93,0.5348,149.55,44.83,39.94,8.66,0.0625,140.19,7292.82,0
2022-07-05,781.62,27.73,0.711,392.6,0.3873,108.43,44.19,27.41,5.94,0.0295,105.24,4745.94,0
2022-07-06,765.61,28.99,0.2445,634.58,0.6228,169.24,45.83,36.3,9.6,0.0027,168.79,8872.87,0
2022-07-07,731.18,27.25,0.1054,677.26,0.6694,189.13,46.07,23.16,7.61,0.053,179.1,8383.96,0
2022-07-08,682.98,24.66,0.6447,374.77,0.3738,97.16,42.93,36.94,9.9,0.1289,84.64,4319.3,0
2022-07-09,641.04,27.16,0.1561,570.97,0.5646,160.9,44.98,30.22,8.74,0.0978,145.16,7154.72,0
2022-07-10,703.18,30.61,0.4117,500.53,0.488,134.98,46.12,33.05,6.17,0.0028,134.6,6509.98,0
2022-07-11,779.29,22.14,0.6999,397.48,0.3964,107.34,44.81,38.14,10.14,0.0166,105.55,5588.85,0
2022-07-12,738.6,26.7,0.0999,686.96,0.6805,187.04,45.73,22.44,10.33,0.0104,185.09,9082.54,0
2022-07-13,648.76,23.29,0.5078,418.14,0.417,114.15,45.35,26.57,9.32,0.0419,109.36,5363.23,0
2022-07-14,731.55,30.79,0.1007,680.0,0.6625,188.28,45.34,35.46,6.86,0.0961,170.18,8378.79,0
2022-07-15,741.83,19.83,0.4028,532.64,0.5312,140.7,44.73,48.33,7.54,0.008,139.58,7446.49,0
2022-07-16,663.14,23.6,0.0213,653.25,0.6515,175.35,43.78,30.19,8.22,0.0171,172.34,8259.31,0
2022-07-17,722.77,27.26,0.1575,643.09,0.6356,179.96,43.88,35.77,6.94,0.0237,175.69,8501.82,0
2022-07-18,714.31,31.92,0.2382,595.23,0.5772,155.75,45.71,29.94,10.54,0.0957,140.84,7255.6,0
2022-07-19,639.43,25.3,0.0881,599.98,0.5976,168.85,45.02,46.09,8.22,0.0018,168.55,9027.18,0
2022-07-20,726.56,23.24,0.5272,458.42,0.4572,134.22,44.86,16.33,3.94,0.029,130.33,5245.07,0
2022-07-21,735.75,32.88,0.4579,499.91,0.4828,130.76,44.58,30.82,8.51,0.0798,120.33,5890.91,0
2022-07-22,764.0,19.46,0.6892,395.39,0.3943,111.84,44.69,16.81,7.48,0.0047,111.32,4876.48,0
2022-07-23,759.07,16.35,0.1684,669.59,0.6677,177.86,46.05,9.52,7.89,0.0839,162.93,7002.16,0
2022-07-24,609.91,26.79,0.3269,470.36,0.4657,131.84,44.66,31.71,7.45,0.0102,130.49,6293.03,0
2022-07-25,632.95,22.91,0.1204,579.61,0.578,159.94,43.66,30.21,9.21,0.0028,159.5,7789.3,0
2022-07-26,716.69,20.71,0.2657,583.41,0.5818,162.35,45.74,26.58,9.68,0.0232,158.58,7877.52,0
2022-07-27,713.1,27.51,0.728,349.68,0.3452,91.7,44.8,27.78,8.42,0.0972,82.78,3982.93,0
2022-07-28,709.57,25.53,0.5425,440.12,0.4379,112.13,45.03,53.18,7.49,0.0636,104.99,5771.09,0
2022-07-29,906.14,22.17,0.1497,811.19,0.8089,224.95,46.61,26.1,7.94,0.0641,210.52,10187.74,0
2022-07-30,705.46,19.18,0.0472,682.13,0.6802,176.73,44.98,32.01,8.03,0.0011,176.54,8671.26,0
2022-07-31,735.49,27.66,0.0429,713.39,0.7038,191.95,45.29,22.51,6.8,0.0011,191.75,8676.96,0
2022-08-01,720.67,26.63,0.5475,444.46,0.4403,125.78,43.82,29.84,8.87,0.0187,123.42,5985.59,0
2022-08-02,698.51,23.5,0.2321,585.02,0.5833,161.37,44.78,25.35,8.69,0.0519,153.0,7289.41,0
2022-08-03,636.43,31.14,0.8722,247.85,0.2411,76.03,45.61,23.75,10.31,0.0082,75.41,3722.39,0
2022-08-04,696.73,19.33,0.4227,490.57,0.4891,139.63,43.44,41.37,9.88,0.0107,138.14,7280.72,0
2022-08-05,600.58,17.36,0.2428,498.51,0.497,133.41,45.2,36.02,6.97,0.0475,127.08,6280.22,0
2022-08-06,628.44,20.55,0.1334,569.75,0.5681,156.35,45.1,27.49,9.23,0.0086,155.0,7602.38,0
2022-08-07,609.15,22.99,0.603,352.03,0.351,96.28,45.04,7.75,6.57,0.0132,95.01,3840.84,0
2022-08-08,638.73,23.99,0.27,518.01,0.5165,134.11,46.04,23.09,9.04,0.0016,133.9,6453.37,0
2022-08-09,768.18,21.9,0.478,511.14,0.5096,135.44,45.33,47.39,7.23,0.0151,133.39,7093.27,0
2022-08-10,512.68,24.11,0.3923,371.91,0.3708,99.16,46.48,23.72,6.47,0.0499,94.22,4344.9,0
2022-08-11,661.24,17.54,0.3946,478.6,0.4771,121.03,44.01,34.19,8.42,0.0097,119.87,5931.32,0
2022-08-12,518.59,28.16,0.5767,309.25,0.3044,83.95,45.14,36.71,3.99,0.0682,78.22,3644.78,0
2022-08-13,582.25,21.89,0.1363,526.71,0.5251,143.16,45.08,26.73,5.37,0.0012,142.98,6427.35,0
2022-08-14,671.06,26.52,0.4446,462.23,0.458,117.59,43.93,18.05,7.73,0.1208,103.38,4538.59,0
2022-08-15,604.68,23.26,0.3212,468.71,0.4673,130.52,45.96,5.12,8.12,0.0116,129.01,5396.11,0
2022-08-16,531.19,23.54,0.5642,321.39,0.3204,91.69,47.32,29.89,7.45,0.0852,83.88,4155.29,0
